Date,Open,High,Low,Close,Adj Close,Volume,delta,profit,gain_loss
4/19/23,165.800003,168.160004,165.539993,167.630005,167.398468,47720200, 1.83 ," 87,328,061.44 ",gain
4/20/23,166.089996,167.869995,165.559998,166.649994,166.4198,52456400, 0.56 ," 29,375,479.09 ",gain
4/21/23,165.050003,166.449997,164.490005,165.020004,164.792068,58337300, (0.03)," (1,750,060.66)",loss
4/24/23,165,165.600006,163.889999,165.330002,165.101639,41949600, 0.33 ," 13,843,451.90 ",gain
4/25/23,165.190002,166.309998,163.729996,163.770004,163.543793,48714100, (1.42)," (69,173,924.57)",loss
4/26/23,163.059998,165.279999,162.800003,163.759995,163.533798,45498800, 0.70 ," 31,849,023.50 ",gain
4/27/23,165.190002,168.559998,165.190002,168.410004,168.177383,64902300, 3.22 ," 208,985,535.80 ",gain
4/28/23,168.490005,169.850006,167.880005,169.679993,169.445618,55209200, 1.19 ," 65,698,285.49 ",gain
5/1/23,169.279999,170.449997,168.639999,169.589996,169.355743,52472900, 0.31 ," 16,266,441.58 ",gain
5/2/23,170.089996,170.350006,167.539993,168.539993,168.30719,48425700, (1.55)," (75,059,980.28)",loss
5/3/23,169.5,170.919998,167.160004,167.449997,167.218704,65136000, (2.05)," (133,528,995.41)",loss
5/4/23,164.889999,167.039993,164.309998,165.789993,165.560989,81235400, 0.90 ," 73,111,372.59 ",gain
5/5/23,170.979996,174.300003,170.759995,173.570007,173.330261,113316400, 2.59 ," 293,490,722.48 ",gain
5/8/23,172.479996,173.850006,172.110001,173.5,173.260345,55962800, 1.02 ," 57,082,279.85 ",gain
5/9/23,173.050003,173.539993,171.600006,171.770004,171.532745,45326900, (1.28)," (58,018,386.67)",loss
5/10/23,173.020004,174.029999,171.899994,173.559998,173.320267,53724500, 0.54 ," 29,010,907.65 ",gain
5/11/23,173.850006,174.589996,172.169998,173.75,173.51001,49514700, (0.10)," (4,951,767.09)",loss
5/12/23,173.619995,174.059998,171,172.570007,172.570007,45497800, (1.05)," (47,772,144.03)",loss
5/15/23,173.160004,173.210007,171.470001,172.070007,172.070007,37266700, (1.09)," (40,620,591.20)",loss
5/16/23,171.990005,173.139999,171.800003,172.070007,172.070007,42110300, 0.08 ," 3,368,908.22 ",gain
5/17/23,171.710007,172.929993,170.419998,172.690002,172.690002,57951600, 0.98 ," 56,792,278.24 ",gain
5/18/23,173,175.240005,172.580002,175.050003,175.050003,65496700, 2.05 ," 134,268,431.49 ",gain
5/19/23,176.389999,176.389999,174.940002,175.160004,175.160004,55772400, (1.23)," (68,599,773.14)",loss
5/22/23,173.979996,174.710007,173.449997,174.199997,174.199997,43570900, 0.22 ," 9,585,641.57 ",gain
5/23/23,173.130005,173.380005,171.279999,171.559998,171.559998,50747300, (1.57)," (79,673,616.23)",loss
5/24/23,171.089996,172.419998,170.520004,171.839996,171.839996,45143500, 0.75 ," 33,857,625.00 ",gain
5/25/23,172.410004,173.899994,171.690002,172.990005,172.990005,56058300, 0.58 ," 32,513,870.06 ",gain
5/26/23,173.320007,175.770004,173.110001,175.429993,175.429993,54835000, 2.11 ," 115,701,082.31 ",gain
5/30/23,176.960007,178.990005,176.570007,177.300003,177.300003,55964400, 0.34 ," 19,027,672.14 ",gain
5/31/23,177.330002,179.350006,176.759995,177.25,177.25,99625300, (0.08)," (7,970,223.25)",loss
6/1/23,177.699997,180.119995,176.929993,180.089996,180.089996,68901800, 2.39 ," 164,675,233.10 ",gain
6/2/23,181.029999,181.779999,179.259995,180.949997,180.949997,61945900, (0.08)," (4,955,795.89)",loss
6/5/23,182.630005,184.949997,178.039993,179.580002,179.580002,121946500, (3.05)," (371,937,190.84)",loss
6/6/23,179.970001,180.119995,177.429993,179.210007,179.210007,64848400, (0.76)," (49,284,394.91)",loss
6/7/23,178.440002,181.210007,177.320007,177.820007,177.820007,61944600, (0.62)," (38,405,342.28)",loss
6/8/23,177.899994,180.839996,177.460007,180.570007,180.570007,50214900, 2.67 ," 134,074,435.79 ",gain
6/9/23,181.5,182.229996,180.630005,180.960007,180.960007,48870700, (0.54)," (26,389,835.91)",loss
6/12/23,181.270004,183.889999,180.970001,183.789993,183.789993,54274900, 2.52 ," 136,772,150.98 ",gain
6/13/23,182.800003,184.149994,182.440002,183.309998,183.309998,54929100, 0.51 ," 28,013,566.35 ",gain
6/14/23,183.369995,184.389999,182.020004,183.949997,183.949997,57462900, 0.58 ," 33,328,596.93 ",gain
6/15/23,183.960007,186.520004,183.779999,186.009995,186.009995,65433200, 2.05 ," 134,137,274.80 ",gain
6/16/23,186.729996,186.990005,184.270004,184.919998,184.919998,101235600, (1.81)," (183,236,233.53)",loss
6/20/23,184.410004,186.100006,184.410004,185.009995,185.009995,49799100, 0.60 ," 29,879,011.81 ",gain
6/21/23,184.899994,185.410004,182.589996,183.960007,183.960007,49515700, (0.94)," (46,544,114.30)",loss
6/22/23,183.740005,187.050003,183.669998,187,187,51245300, 3.26 ," 167,059,421.77 ",gain
6/23/23,185.550003,187.559998,185.009995,186.679993,186.679993,53079300, 1.13 ," 59,979,078.21 ",gain
6/26/23,186.830002,188.050003,185.229996,185.270004,185.270004,48088700, (1.56)," (75,018,275.82)",loss
6/27/23,185.889999,188.389999,185.669998,188.059998,188.059998,50730800, 2.17 ," 110,085,785.27 ",gain
6/28/23,187.929993,189.899994,187.600006,189.25,189.25,51216800, 1.32 ," 67,606,534.52 ",gain
6/29/23,189.080002,190.070007,188.940002,189.589996,189.589996,46347300, 0.51 ," 23,636,844.92 ",gain
